phon,cgram,freqfilms2,freqlivres,p_cvcv,syll
satinet,NOM,0,0.41,CVCVCVC,sa-ti-net
balad9R,ADJ,0.1,0.07,CVCVCVC,ba-la-d9R
bal@sel,NOM,0.18,0.27,CVCVCVC,ba-l@-sel
mel@Z9R,NOM,0,0.07,CVCVCVC,me-l@-Z9R
sinagOg,NOM,0.57,0.54,CVCVCVC,si-na-gOg
kanaliz,VeR,0.01,0.2,CVCVCVC,ka-na-liz
Resysit,VeR,0.51,1.08,CVCVCVC,Re-sy-sit
goSiz@t,ADJ,0,0.07,CVCVCVC,go-Si-z@t
pedofil,NOM,0.39,0.14,CVCVCVC,pe-do-fil
miNonet,NOM,0.04,0.07,CVCVCVC,mi-No-net
Resit@t,NOM,0,0.07,CVCVCVC,Re-si-t@t
tiRaniz,VeR,0.03,0.14,CVCVCVC,ti-Ra-niz
minotoR,NOM,0.02,0.07,CVCVCVC,mi-no-toR
R*kylad,NOM,0,0.47,CVCVCVC,R*-ky-lad
moRaliz,VeR,0,0.14,CVCVCVC,mo-Ra-liz
lesefeR,NOM,0.01,0,CVCVCVC,le-se-feR
penit@s,NOM,0,0.95,CVCVCVC,pe-ni-t@s
paliSOn,ADJ,0,0.2,CVCVCVC,pa-li-SOn
malonet,ADJ,3.34,0.95,CVCVCVC,ma-lo-net
p@tomim,NOM,0.41,1.42,CVCVCVC,p@-to-mim
RizOpys,NOM,0.04,0,CVCVCVC,Ri-zO-pys
deziR2z,ADJ,0.35,1.96,CVCVCVC,de-zi-R2z
RaseRen,VeR,0,0.41,CVCVCVC,Ra-se-Ren
disimyl,VeR,0.02,0,CVCVCVC,di-si-myl
k2daR6d,NOM,0,0.07,CVCVCVC,k2-da-R6d
Rap*leR,VeR,0.01,1.01,CVCVCVC,Ra-p*-leR
dekup9R,NOM,0.15,0,CVCVCVC,de-ku-p9R
d*milyn,NOM,0.11,0.14,CVCVCVC,d*-mi-lyn
debuS9R,NOM,0.04,0.07,CVCVCVC,de-bu-S9R
ZeRikan,NOM,0.25,0.27,CVCVCVC,Ze-Ri-kan
divid@d,NOM,0.03,0.07,CVCVCVC,di-vi-d@d
kol6baZ,NOM,0,0.68,CVCVCVC,ko-l6-baZ
natyRel,ADJ,3.9,6.28,CVCVCVC,na-ty-Rel
SuSutaZ,NOM,0,0.14,CVCVCVC,Su-Su-taZ
tiRanik,ADJ,0.06,0.41,CVCVCVC,ti-Ra-nik
maReSal,NOM,0.14,0.07,CVCVCVC,ma-Re-Sal
meseN9R,NOM,0.5,0.14,CVCVCVC,me-se-N9R
sikomOR,NOM,0.04,0.74,CVCVCVC,si-ko-mOR
benefis,NOM,4.31,8.04,CVCVCVC,be-ne-fis
neseseR,ADJ,7.71,19.66,CVCVCVC,ne-se-seR
pen5syl,NOM,0.01,0.14,CVCVCVC,pe-n5-syl
byRotik,NOM,0.01,0,CVCVCVC,by-Ro-tik
pyRyl@t,ADJ,0.1,0.2,CVCVCVC,py-Ry-l@t
debilit,VeR,0,0.07,CVCVCVC,de-bi-lit
dison@s,NOM,0.14,0.2,CVCVCVC,di-so-n@s
deziNas,VeR,0,0.07,CVCVCVC,de-zi-Nas
dus*R2z,ADJ,0,0.47,CVCVCVC,du-s*-R2z
R@don2z,NOM,0.03,0,CVCVCVC,R@-do-n2z
naRativ,ADJ,0.07,0,CVCVCVC,na-Ra-tiv
toleR@t,ADJ,0.16,0.07,CVCVCVC,to-le-R@t
sevilan,NOM,0,0.2,CVCVCVC,se-vi-lan
favoRit,NOM,0.19,0.88,CVCVCVC,fa-vo-Rit
k6poz@t,ADJ,0.15,0.07,CVCVCVC,k6-po-z@t
R*kuveR,VeR,2.79,16.82,CVCVCVC,R*-ku-veR
kaR@bOl,VeR,0,0.07,CVCVCVC,ka-R@-bOl
kal*bas,NOM,0.11,0.95,CVCVCVC,ka-l*-bas
dokym@t,VeR,0,0.07,CVCVCVC,do-ky-m@t
bybonik,ADJ,0.25,0.07,CVCVCVC,by-bo-nik
R*tiReR,VeR,0.21,1.55,CVCVCVC,R*-ti-ReR
deSiket,VeR,0,0.07,CVCVCVC,de-Si-ket
kones9R,NOM,0.24,1.76,CVCVCVC,ko-ne-s9R
RibOt9R,NOM,0.01,0,CVCVCVC,Ri-bO-t9R
RezolyR,VeR,0,0.07,CVCVCVC,Re-zo-lyR
dekalOg,NOM,0.01,0.2,CVCVCVC,de-ka-lOg
RadotaZ,NOM,0.28,0.34,CVCVCVC,Ra-do-taZ
deposed,VeR,0.02,0,CVCVCVC,de-po-sed
balad2z,NOM,0.01,0.54,CVCVCVC,ba-la-d2z
paRaSyt,VeR,0.45,0.2,CVCVCVC,pa-Ra-Syt
m@dateR,ADJ,0.07,0.88,CVCVCVC,m@-da-teR
baloteR,VeR,0,0.07,CVCVCVC,ba-lo-teR
boloNez,NOM,0.08,0.14,CVCVCVC,bo-lo-Nez
d*mibOt,NOM,0,0.14,CVCVCVC,d*-mi-bOt
Rivaliz,VeR,0.1,0.41,CVCVCVC,Ri-va-liz
sot*Rel,NOM,1.63,1.62,CVCVCVC,so-t*-Rel
ReveR@d,ADJ,0.9,0.14,CVCVCVC,Re-ve-R@d
bal*Rin,NOM,1.23,1.22,CVCVCVC,ba-l*-Rin
m6tikyl,NOM,0.58,1.96,CVCVCVC,m6-ti-kyl
dekatiR,VeR,0,0.14,CVCVCVC,de-ka-tiR
lodanOm,NOM,0.45,0.2,CVCVCVC,lo-da-nOm
bagaR9R,NOM,0.08,0.34,CVCVCVC,ba-ga-R9R
patinet,NOM,0.01,0.2,CVCVCVC,pa-ti-net
fyZitif,NOM,1.96,1.69,CVCVCVC,fy-Zi-tif
R*peRaZ,NOM,0.14,0.27,CVCVCVC,R*-pe-RaZ
Retis@s,NOM,0.41,4.39,CVCVCVC,Re-ti-s@s
k@seR2z,ADJ,0.25,0.14,CVCVCVC,k@-se-R2z
k6Zygal,ADJ,2.08,3.18,CVCVCVC,k6-Zy-gal
peRonel,NOM,0.04,0.07,CVCVCVC,pe-Ro-nel
Rabat9R,NOM,0.45,0.95,CVCVCVC,Ra-ba-t9R
R*t@tiR,VeR,0,1.62,CVCVCVC,R*-t@-tiR
R*seReR,VeR,0,0.2,CVCVCVC,R*-se-ReR
kod*bek,NOM,0,0.14,CVCVCVC,ko-d*-bek
puponaZ,NOM,0.04,0.07,CVCVCVC,pu-po-naZ
bul*vaR,NOM,4.19,52.03,CVCVCVC,bu-l*-vaR
diviniz,VeR,0,0.14,CVCVCVC,di-vi-niz
valoRiz,VeR,0.19,0.27,CVCVCVC,va-lo-Riz
palatin,ADJ,0.01,0.07,CVCVCVC,pa-la-tin
paRabOl,NOM,0.12,0.61,CVCVCVC,pa-Ra-bOl
suv*Ren,ADJ,0.02,0.27,CVCVCVC,su-v*-Ren
bavas9R,ADJ,0.01,0,CVCVCVC,ba-va-s9R
kal*sif,NOM,0.02,0.14,CVCVCVC,ka-l*-sif
koRobOR,VeR,0.15,0.2,CVCVCVC,ko-Ro-bOR
Radot9R,ADJ,0.02,0,CVCVCVC,Ra-do-t9R
defisit,NOM,1.91,0.95,CVCVCVC,de-fi-sit
fyRibaR,ADJ,0.17,1.01,CVCVCVC,fy-Ri-baR
lodativ,ADJ,0,0.07,CVCVCVC,lo-da-tiv
p@t*l@t,ADJ,0.07,1.22,CVCVCVC,p@-t*-l@t
dekodaZ,NOM,0,0.14,CVCVCVC,de-ko-daZ
polisOn,NOM,0.01,0.07,CVCVCVC,po-li-sOn
Zenomik,NOM,0.04,0,CVCVCVC,Ze-no-mik
pybes@t,ADJ,0.01,0,CVCVCVC,py-be-s@t
panikyl,NOM,0,0.14,CVCVCVC,pa-ni-kyl
maRoken,NOM,0.01,0.07,CVCVCVC,ma-Ro-ken
s@t*neR,ADJ,0.54,1.28,CVCVCVC,s@-t*-neR
Rezin2z,ADJ,0.01,0.61,CVCVCVC,Re-zi-n2z
dedeN2z,ADJ,0,2.3,CVCVCVC,de-de-N2z
dinozoR,NOM,2.32,0.07,CVCVCVC,di-no-zoR
Ramon9R,NOM,0.03,0.14,CVCVCVC,Ra-mo-n9R
puRis9R,ADJ,0,0.07,CVCVCVC,pu-Ri-s9R
fOl*d5g,NOM,0.02,0,CVCVCVC,fO-l*-d5g
salikOl,ADJ,0,0.07,CVCVCVC,sa-li-kOl
baRikad,NOM,0.94,3.11,CVCVCVC,ba-Ri-kad
kones@s,NOM,36.6,55.81,CVCVCVC,ko-ne-s@s
pezasid,NOM,0,0.07,CVCVCVC,pe-za-sid
solanel,ADJ,0.19,1.35,CVCVCVC,so-la-nel
k*Rel9R,NOM,0,0.07,CVCVCVC,k*-Re-l9R
sideR@t,ADJ,0.03,0.14,CVCVCVC,si-de-R@t
syfok@t,ADJ,0.06,1.76,CVCVCVC,sy-fo-k@t
negativ,NOM,0.12,0.47,CVCVCVC,ne-ga-tiv
Ral@tiR,VeR,5.25,5.2,CVCVCVC,Ra-l@-tiR
m2zyRet,NOM,0.01,0,CVCVCVC,m2-zy-Ret
pikadOR,NOM,0,0.27,CVCVCVC,pi-ka-dOR
misaleR,NOM,0.01,0,CVCVCVC,mi-sa-leR
R*saseR,VeR,0.01,0,CVCVCVC,R*-sa-seR
limoneR,NOM,0,0.54,CVCVCVC,li-mo-neR
d*mitas,NOM,0.08,0.07,CVCVCVC,d*-mi-tas
kaz*mat,NOM,0.01,1.62,CVCVCVC,ka-z*-mat
sekanez,NOM,0,0.2,CVCVCVC,se-ka-nez
liteReR,ADJ,2.64,11.82,CVCVCVC,li-te-ReR
medikal,ADJ,10.41,3.85,CVCVCVC,me-di-kal
S*mizet,NOM,0.15,2.77,CVCVCVC,S*-mi-zet
bOtylik,ADJ,0.19,0,CVCVCVC,bO-ty-lik
f6dat9R,ADJ,0.47,0.34,CVCVCVC,f6-da-t9R
devid9R,NOM,0,0.07,CVCVCVC,de-vi-d9R
Zelatin,NOM,0,0.14,CVCVCVC,Ze-la-tin
def@diR,VeR,0.01,0.14,CVCVCVC,de-f@-diR
b@k*Rut,NOM,0.2,0.07,CVCVCVC,b@-k*-Rut
bib*ROn,VeR,0.01,0.2,CVCVCVC,bi-b*-ROn
b6binet,NOM,0,0.07,CVCVCVC,b6-bi-net
Ramon9R,NOM,0.08,0.74,CVCVCVC,Ra-mo-n9R
maRonit,ADJ,0,0.14,CVCVCVC,ma-Ro-nit
p2z@t9R,NOM,0,0.27,CVCVCVC,p2-z@-t9R
dekoleR,VeR,0,0.14,CVCVCVC,de-ko-leR
mediz@s,NOM,0.09,0.74,CVCVCVC,me-di-z@s
k@seR2z,NOM,0.03,0,CVCVCVC,k@-se-R2z
kOk*lyS,NOM,0.97,2.43,CVCVCVC,kO-k*-lyS
bisefal,ADJ,0,0.07,CVCVCVC,bi-se-fal
benis9R,ADJ,0,0.14,CVCVCVC,be-ni-s9R
R*v@SaR,NOM,0,0.27,CVCVCVC,R*-v@-SaR
telefOn,VeR,9.44,10.81,CVCVCVC,te-le-fOn
n6Sal@s,NOM,0.47,5,CVCVCVC,n6-Sa-l@s
finis@,ADJ,0.03,1.82,CVCVCV,fi-ni-s@
R*nome,VeR,0,0.27,CVCVCV,R*-no-me
takine,VeR,0.41,0.27,CVCVCV,ta-ki-ne
siN*Re,VeR,0.39,0.14,CVCVCV,si-N*-Re
vomis@,VeR,0.11,0.81,CVCVCV,vo-mi-s@
takine,VeR,0.28,0.2,CVCVCV,ta-ki-ne
betone,VeR,0,0.07,CVCVCV,be-to-ne
mitone,VeR,0.14,0.74,CVCVCV,mi-to-ne
bes*R6,VeR,0.19,0.14,CVCVCV,be-s*-R6
deS@te,VeR,0,0.14,CVCVCV,de-S@-te
denote,VeR,0,0.54,CVCVCV,de-no-te
maSone,VeR,0,0.2,CVCVCV,ma-So-ne
R*l@se,VeR,0,0.07,CVCVCV,R*-l@-se
balad5,NOM,0,0.68,CVCVCV,ba-la-d5
kal*p5,NOM,1,3.11,CVCVCV,ka-l*-p5
deg@te,VeR,0,0.07,CVCVCV,de-g@-te
deRide,VeR,0,0.2,CVCVCV,de-Ri-de
deR@Ze,VeR,2.38,1.62,CVCVCV,de-R@-Ze
d*m9Re,VeR,0.45,24.59,CVCVCV,d*-m9-Re
deboSe,VeR,0,0.07,CVCVCV,de-bo-Se
betone,VeR,0,0.07,CVCVCV,be-to-ne
gaRote,VeR,0.01,0.07,CVCVCV,ga-Ro-te
R@Z*Re,VeR,0.16,0,CVCVCV,R@-Z*-Re
deR@Ze,VeR,6.75,1.55,CVCVCV,de-R@-Ze
R*leRe,VeR,0,0.07,CVCVCV,R*-le-Re
difeR@,ADJ,65.42,27.43,CVCVCV,di-fe-R@
salyRa,VeR,0.3,0.07,CVCVCV,sa-ly-Ra
toleR@,ADJ,1.3,0.74,CVCVCV,to-le-R@
fis*le,VeR,0.05,0.81,CVCVCV,fi-s*-le
bidone,VeR,0,0.07,CVCVCV,bi-do-ne
k6v*ne,VeR,0.2,0.2,CVCVCV,k6-v*-ne
deRob@,VeR,0.05,1.22,CVCVCV,de-Ro-b@
k6paR@,ADJ,0,0.07,CVCVCV,k6-pa-R@
Ram@de,VeR,0.01,0,CVCVCV,Ra-m@-de
modyl@,VeR,0,0.34,CVCVCV,mo-dy-l@
k6bat@,VeR,1.43,2.97,CVCVCV,k6-ba-t@
t@peRa,NOM,0.1,0,CVCVCV,t@-pe-Ra
tas*Re,VeR,0.03,0.07,CVCVCV,ta-s*-Re
kOl*Re,VeR,0.1,0.14,CVCVCV,kO-l*-Re
defiRe,VeR,0.03,0,CVCVCV,de-fi-Re
deloZe,VeR,0.29,0.2,CVCVCV,de-lo-Ze
Reviz6,VeR,0.19,0,CVCVCV,Re-vi-z6
kutosi,NOM,0.01,0.07,CVCVCV,ku-to-si
deRula,VeR,0,0.14,CVCVCV,de-Ru-la
kuS*Ri,NOM,0.27,0.61,CVCVCV,ku-S*-Ri
S*mino,NOM,0.35,1.49,CVCVCV,S*-mi-no
fidysi,NOM,0.06,0,CVCVCV,fi-dy-si
S*mine,VeR,0.11,1.15,CVCVCV,S*-mi-ne
gaN*Ra,VeR,5.08,1.49,CVCVCV,ga-N*-Ra
R*paRy,VeR,0.32,2.64,CVCVCV,R*-pa-Ry
k6Zyge,VeR,0,0.2,CVCVCV,k6-Zy-ge
sepaRe,ADJ,1.11,1.28,CVCVCV,se-pa-Re
k6d@se,VeR,0,0.2,CVCVCV,k6-d@-se
negosi,VeR,2.49,0.68,CVCVCV,ne-go-si
baRat@,VeR,0,0.07,CVCVCV,ba-Ra-t@
dem@Se,VeR,0,0.07,CVCVCV,de-m@-Se
pyneze,VeR,0,0.14,CVCVCV,py-ne-ze
syfiz@,VeR,0.28,1.01,CVCVCV,sy-fi-z@
gazone,ADJ,0,0.14,CVCVCV,ga-zo-ne
desina,VeR,0,0.2,CVCVCV,de-si-na
deRive,VeR,0.06,1.55,CVCVCV,de-Ri-ve
faS*R6,VeR,0.01,0,CVCVCV,fa-S*-R6
Ral6Ze,VeR,0.07,0.27,CVCVCV,Ra-l6-Ze
debife,VeR,0,0.07,CVCVCV,de-bi-fe
kOk*b5,ADJ,0,0.34,CVCVCV,kO-k*-b5
debySe,NOM,0,0.07,CVCVCV,de-by-Se
det@dy,VeR,0.56,0.95,CVCVCV,de-t@-dy
R*peR@,VeR,0.02,0.47,CVCVCV,R*-pe-R@
lav@d5,NOM,0,0.07,CVCVCV,la-v@-d5
p5s*m@,NOM,0.18,3.65,CVCVCV,p5-s*-m@
koz*Re,VeR,0.25,0.14,CVCVCV,ko-z*-Re
pikote,VeR,0,0.07,CVCVCV,pi-ko-te
balote,ADJ,0,0.41,CVCVCV,ba-lo-te
peS*Re,VeR,0.04,0,CVCVCV,pe-S*-Re
R*myRe,VeR,0.19,0.14,CVCVCV,R*-my-Re
veZete,VeR,0.01,0.14,CVCVCV,ve-Ze-te
mulyRe,VeR,0,0.2,CVCVCV,mu-ly-Re
k6some,VeR,0.03,0.27,CVCVCV,k6-so-me
sulaZe,VeR,0.15,0,CVCVCV,su-la-Ze
R*mize,VeR,0.01,0.34,CVCVCV,R*-mi-ze
motive,VeR,0.04,0.07,CVCVCV,mo-ti-ve
k6siNe,ADJ,0.39,0,CVCVCV,k6-si-Ne
Ravine,VeR,0,0.14,CVCVCV,Ra-vi-ne
ReSof@,VeR,0.03,0.41,CVCVCV,Re-So-f@
ROt*Ra,VeR,0,0.07,CVCVCV,RO-t*-Ra
R*kopi,VeR,0.01,0.07,CVCVCV,R*-ko-pi
debyte,VeR,0.02,0,CVCVCV,de-by-te
dizyRi,NOM,0.01,0,CVCVCV,di-zy-Ri
b2don@,ADJ,0.14,1.01,CVCVCV,b2-do-n@
myRis@,ADJ,0,0.14,CVCVCV,my-Ri-s@
degome,VeR,0.34,0.27,CVCVCV,de-go-me
deside,VeR,2.04,11.08,CVCVCV,de-si-de
denyda,VeR,0,0.07,CVCVCV,de-ny-da
puRiRe,VeR,0.22,0,CVCVCV,pu-Ri-Re
dekasi,VeR,0.01,0.2,CVCVCV,de-ka-si
sytyR@,VeR,0,0.07,CVCVCV,sy-ty-R@
fet*R6,VeR,0.6,0.41,CVCVCV,fe-t*-R6
dezode,ADJ,0,0.07,CVCVCV,de-zo-de
k6t*Re,VeR,0.4,0.27,CVCVCV,k6-t*-Re
volov@,NOM,0.02,0.14,CVCVCV,vo-lo-v@
defini,VeR,0.35,0.2,CVCVCV,de-fi-ni
R*tuSe,VeR,0.22,0.14,CVCVCV,R*-tu-Se
bOt*Ra,VeR,0.05,0,CVCVCV,bO-t*-Ra
syRane,ADJ,0.01,0.47,CVCVCV,sy-Ra-ne
kOk*Ri,NOM,0.05,0,CVCVCV,kO-k*-Ri
kavale,VeR,0.23,1.08,CVCVCV,ka-va-le
S*mine,VeR,0.04,0,CVCVCV,S*-mi-ne
dyv*te,VeR,0,0.14,CVCVCV,dy-v*-te
R*z6Ze,VeR,0,0.14,CVCVCV,R*-z6-Ze
diZeR6,VeR,0,0.07,CVCVCV,di-Ze-R6
peRiR6,VeR,0.14,0.07,CVCVCV,pe-Ri-R6
s5kope,ADJ,0.01,0.14,CVCVCV,s5-ko-pe
vid*Ra,VeR,0.16,0.14,CVCVCV,vi-d*-Ra
t6b*Re,VeR,0.88,0.74,CVCVCV,t6-b*-Re
paRese,VeR,0.46,0.61,CVCVCV,pa-Re-se
k6ZyRe,ADJ,0,0.14,CVCVCV,k6-Zy-Re
t@pete,VeR,0,0.74,CVCVCV,t@-pe-te
diseke,VeR,0.01,0,CVCVCV,di-se-ke
deSene,ADJ,0.47,1.49,CVCVCV,de-Se-ne
sakaZe,VeR,0,0.14,CVCVCV,sa-ka-Ze
mefiRe,VeR,0.36,0.41,CVCVCV,me-fi-Re
piZono,NOM,0.23,0.07,CVCVCV,pi-Zo-no
gaR@ti,ADJ,0.25,0.61,CVCVCV,ga-R@-ti
k6s@g5,ADJ,0.02,0.14,CVCVCV,k6-s@-g5
Ram2te,VeR,0.07,0.14,CVCVCV,Ra-m2-te
k6baty,VeR,0.22,0.27,CVCVCV,k6-ba-ty
leS*Re,VeR,0.05,0,CVCVCV,le-S*-Re
kem@de,VeR,0.01,0.2,CVCVCV,ke-m@-de
l@s@Z5,NOM,0.02,0,CVCVCV,l@-s@-Z5
k6p@se,ADJ,0.01,0,CVCVCV,k6-p@-se
k6t*ny,VeR,1.11,3.58,CVCVCV,k6-t*-ny
kas*Re,VeR,1.58,0.74,CVCVCV,ka-s*-Re
fiNole,VeR,0.01,0.07,CVCVCV,fi-No-le
R*f*R6,VeR,0.3,0.07,CVCVCV,R*-f*-R6
mimut6,NOM,0,0.07,CVCVCV,mi-mu-t6
toleRe,VeR,0.58,2.3,CVCVCV,to-le-Re
sim@t@,VeR,0,0.07,CVCVCV,si-m@-t@
get*Re,VeR,0.01,0,CVCVCV,ge-t*-Re
deSene,VeR,0.13,0.2,CVCVCV,de-Se-ne
R*kupe,VeR,0.04,0,CVCVCV,R*-ku-pe
R*v@de,VeR,0.01,0.34,CVCVCV,R*-v@-de
ROm*Ri,NOM,0.03,0.14,CVCVCV,RO-m*-Ri
k6syme,VeR,0.01,0.47,CVCVCV,k6-sy-me
vOg*Ra,VeR,0.03,0.07,CVCVCV,vO-g*-Ra
R*peSe,VeR,0,0.07,CVCVCV,R*-pe-Se
libele,VeR,0.01,0.2,CVCVCV,li-be-le
k6paN6,NOM,7.79,28.85,CVCVCV,k6-pa-N6
dilate,VeR,0.11,0.2,CVCVCV,di-la-te
sal*m@,ADV,2.28,6.01,CVCVCV,sa-l*-m@
desele,VeR,0,0.14,CVCVCV,de-se-le
m*nase,ADJ,0.71,2.23,CVCVCV,m*-na-se
m@date,VeR,0.02,0,CVCVCV,m@-da-te
det@di,VeR,0,0.2,CVCVCV,de-t@-di
les*Ra,VeR,13.78,6.62,CVCVCV,le-s*-Ra
koloRe,VeR,0.16,1.55,CVCVCV,ko-lo-Re
sepaRe,VeR,0.01,0.14,CVCVCV,se-pa-Re
balote,VeR,0.02,0.41,CVCVCV,ba-lo-te
maRone,VeR,0.01,0,CVCVCV,ma-Ro-ne
paRen@,VeR,0.01,0.07,CVCVCV,pa-Re-n@
m*zyRe,VeR,0.16,0.95,CVCVCV,m*-zy-Re
Zet*Ra,VeR,0.31,0.14,CVCVCV,Ze-t*-Ra
butone,VeR,0,0.41,CVCVCV,bu-to-ne
sek@se,VeR,0.2,0,CVCVCV,se-k@-se
sul*v@,VeR,0.5,10.2,CVCVCV,su-l*-v@
R*pase,VeR,0.7,0.95,CVCVCV,R*-pa-se
Revase,VeR,0.2,0.61,CVCVCV,Re-va-se
likide,VeR,0.54,0.61,CVCVCV,li-ki-de
demode,ADJ,0.16,0.61,CVCVCV,de-mo-de
seR*Re,VeR,0.12,0.41,CVCVCV,se-R*-Re
seziRe,VeR,0.17,0.07,CVCVCV,se-zi-Re
R*lasa,VeR,0,0.07,CVCVCV,R*-la-sa
sideRe,ADJ,0,0.07,CVCVCV,si-de-Re
R*lege,VeR,0,0.34,CVCVCV,R*-le-ge
Revoke,VeR,0.08,0.27,CVCVCV,Re-vo-ke
paRes2,NOM,2.5,2.03,CVCVCV,pa-Re-s2
kones6,VeR,11.78,6.89,CVCVCV,ko-ne-s6
simyle,VeR,0.14,0.14,CVCVCV,si-my-le
deRive,ADJ,0.04,0.14,CVCVCV,de-Ri-ve
baR*Re,VeR,0.04,0.07,CVCVCV,ba-R*-Re
k@tone,VeR,0.02,0.34,CVCVCV,k@-to-ne
syRine,VeR,0.12,0,CVCVCV,sy-Ri-ne
filam@,NOM,0.29,0.27,CVCVCV,fi-la-m@
k6sede,VeR,0.1,0.2,CVCVCV,k6-se-de
kopyle,VeR,0.01,0.07,CVCVCV,ko-py-le
limas6,NOM,0.01,0.27,CVCVCV,li-ma-s6
leg*Re,VeR,0.01,0.2,CVCVCV,le-g*-Re
baRake,VeR,0.68,0.07,CVCVCV,ba-Ra-ke
koz*Ri,NOM,0.18,1.01,CVCVCV,ko-z*-Ri
nakaRa,NOM,0,0.2,CVCVCV,na-ka-Ra
patyRe,VeR,0.01,0,CVCVCV,pa-ty-Re
figyRe,VeR,1.43,7.3,CVCVCV,fi-gy-Re
Ranime,VeR,1.26,3.45,CVCVCV,Ra-ni-me
kan*t6,NOM,0.21,0.68,CVCVCV,ka-n*-t6
pis@li,NOM,0.68,1.28,CVCVCV,pi-s@-li
dekoRe,VeR,0,0.14,CVCVCV,de-ko-Re
Regala,VeR,0,0.07,CVCVCV,Re-ga-la
k6paNi,NOM,68.9,90.88,CVCVCV,k6-pa-Ni
k6keRa,VeR,0.11,0,CVCVCV,k6-ke-Ra
syk6be,VeR,0.02,0.61,CVCVCV,sy-k6-be
k6d@se,VeR,0,0.07,CVCVCV,k6-d@-se
sypoze,VeR,12.07,3.24,CVCVCV,sy-po-ze
pas*Re,VeR,7.09,12.36,CVCVCV,pa-s*-Re
kalifi,VeR,0.38,0.14,CVCVCV,ka-li-fi
metalo,NOM,0.02,0.47,CVCVCV,me-ta-lo
RyZise,VeR,0.02,0.34,CVCVCV,Ry-Zi-se
k6Z*le,VeR,1.12,0.14,CVCVCV,k6-Z*-le
t@t*Re,VeR,0.17,0,CVCVCV,t@-t*-Re
bal@se,VeR,0.56,9.93,CVCVCV,ba-l@-se
maRine,VeR,0.84,1.15,CVCVCV,ma-Ri-ne
posed@,NOM,0.01,0.34,CVCVCV,po-se-d@
debite,VeR,0.01,0.34,CVCVCV,de-bi-te
R*dize,VeR,0,0.34,CVCVCV,R*-di-ze
bel*m@,NOM,0,0.68,CVCVCV,be-l*-m@
k6ZyRe,VeR,0.15,0.07,CVCVCV,k6-Zy-Re
koR6pe,VeR,0.02,0,CVCVCV,ko-R6-pe
R*p@ti,ADJ,0,0.14,CVCVCV,R*-p@-ti
patoZe,VeR,0.48,1.89,CVCVCV,pa-to-Ze
tamize,VeR,0,0.14,CVCVCV,ta-mi-ze
tulone,NOM,0,0.41,CVCVCV,tu-lo-ne
suliNe,VeR,0.01,1.08,CVCVCV,su-li-Ne
gid*Re,VeR,0.8,0,CVCVCV,gi-d*-Re
Resite,VeR,0,0.41,CVCVCV,Re-si-te
k6s@t@,ADJ,0.35,0.27,CVCVCV,k6-s@-t@
geRiz6,NOM,5.43,4.93,CVCVCV,ge-Ri-z6
m*zyRe,ADJ,0.2,2.03,CVCVCV,m*-zy-Re
maRina,NOM,1.14,0.07,CVCVCV,ma-Ri-na
Rekyze,VeR,0.14,0.34,CVCVCV,Re-ky-ze
Rakol@,VeR,0.01,0.07,CVCVCV,Ra-ko-l@
kOleRe,VeR,0.01,0,CVCVCV,kO-le-Re
divize,VeR,0.84,1.35,CVCVCV,di-vi-ze
Rekyze,VeR,0.01,0.41,CVCVCV,Re-ky-ze
bos*R6,ADJ,0,0.34,CVCVCV,bo-s*-R6
devida,VeR,0,0.2,CVCVCV,de-vi-da
difeRe,VeR,0.12,1.82,CVCVCV,di-fe-Re
dem@ti,ADJ,0.05,0.34,CVCVCV,de-m@-ti
b6papa,NOM,0.07,1.55,CVCVCV,b6-pa-pa
balote,ADJ,0,0.34,CVCVCV,ba-lo-te
lesive,VeR,0,0.14,CVCVCV,le-si-ve
defile,VeR,0.25,0.07,CVCVCV,de-fi-le
deniSe,VeR,0.41,0,CVCVCV,de-ni-Se
balize,VeR,0.06,0.34,CVCVCV,ba-li-ze
RepaRe,VeR,2.71,0,CVCVCV,Re-pa-Re
diZite,ADJ,0,0.07,CVCVCV,di-Zi-te
gaS*Re,VeR,0.03,0,CVCVCV,ga-S*-Re
R*byt@,ADJ,0.14,0.27,CVCVCV,R*-by-t@
medyze,VeR,0,0.41,CVCVCV,me-dy-ze
kup*R6,VeR,0.2,0.2,CVCVCV,ku-p*-R6
bukine,VeR,0.14,0.14,CVCVCV,bu-ki-ne
R*t*ne,VeR,1.1,15.34,CVCVCV,R*-t*-ne
deziNe,ADJ,0.03,0.61,CVCVCV,de-zi-Ne
dem@ti,ADJ,0.16,0.07,CVCVCV,de-m@-ti
Rukule,VeR,0.03,0.68,CVCVCV,Ru-ku-le
kavite,NOM,1.26,1.49,CVCVCV,ka-vi-te
k@dida,NOM,9.63,2.84,CVCVCV,k@-di-da
Rikane,VeR,0.02,0.68,CVCVCV,Ri-ka-ne
mesaZe,NOM,9.6,3.38,CVCVCV,me-sa-Ze
petoSe,VeR,0.01,0,CVCVCV,pe-to-Se
R*SiNe,VeR,0,0.61,CVCVCV,R*-Si-Ne
gaR@ti,ADJ,1.56,1.82,CVCVCV,ga-R@-ti
R*loZe,VeR,0.15,0,CVCVCV,R*-lo-Ze
batize,VeR,0.99,1.96,CVCVCV,ba-ti-ze
v@Z*R6,VeR,0.58,0,CVCVCV,v@-Z*-R6
